radius center_x center_y
128.943 354.975 251.485
128.943 354.975 251.485
128.943 354.975 251.485
128.943 354.975 251.485
128.943 356.635 251.485
128.943 356.635 251.485
128.943 358.295 251.07
128.943 358.295 251.07
127.906 359.54 251.485
127.906 359.54 251.485
127.906 361.2 252.73
127.906 362.86 252.73
127.906 362.86 252.73
127.906 364.52 253.145
127.906 364.52 253.145
127.906 366.18 253.975
126.836 366.18 253.975
126.836 367.425 254.39
126.836 367.425 254.39
126.836 368.67 256.05
125.717 368.67 256.05
125.717 369.915 256.88
125.717 371.575 257.71
125.717 371.575 257.71
125.717 372.82 257.71
124.698 374.48 257.71
124.698 374.48 257.71
124.698 376.14 256.88
124.698 376.14 255.22
124.698 377.385 256.05
123.642 377.385 256.05
123.642 377.8 254.805
123.642 377.8 254.805
123.642 377.8 254.805
123.642 378.215 253.56
123.642 378.215 253.56
122.457 378.215 253.56
122.457 378.215 253.56
122.457 376.97 252.315
122.457 376.97 252.315
122.457 376.14 251.07
122.457 376.14 251.07
122.457 374.065 249.41
122.457 374.065 249.41
122.457 372.82 248.995
122.457 372.82 248.995
123.505 370.745 248.165
123.505 370.745 248.165
123.505 369.085 247.335
123.505 369.085 247.335
123.505 367.01 246.505
123.505 367.01 246.505
124.777 365.765 246.09
124.777 365.765 246.09
124.777 365.765 246.09
124.777 363.69 245.675
124.777 363.69 245.675
124.777 363.69 245.675
124.777 362.445 246.09
124.777 362.445 246.09
124.777 362.445 246.09
124.777 361.2 246.505
124.777 361.2 246.505
124.777 361.2 246.505
124.777 361.2 246.505
126.132 359.955 246.92
126.132 359.955 246.92
126.132 359.955 246.92
126.132 359.955 246.92
126.132 359.955 246.92
126.132 359.955 246.92
126.132 359.955 246.92
126.132 359.955 246.92
125.042 359.955 246.92
125.042 359.955 246.92
125.042 359.955 246.92
125.042 359.955 246.92
125.042 359.955 246.92
125.042 359.955 246.92
125.042 360.37 245.26
125.042 360.37 245.26
125.042 360.37 245.26
125.042 360.785 244.015
125.042 360.785 244.015
123.071 360.785 244.015
123.071 361.2 245.26
123.071 361.2 245.26
120.992 361.615 246.505
120.992 361.615 246.505
119.459 361.615 246.505
119.459 361.615 246.505
119.459 361.615 246.505
